status,msrp_enabled,store_id,weight,color,image,options_container,qty,images,image_urls,is_qty_decimal,sku,use_config_enable_qty_increments,use_config_notify_stock_qty,msrp_display_actual_price_type,page_layout,tax_class_id,gift_message_available,short_description,attribute_set,stock_status_changed_automatically,size,type,thumbnail,store,product_type_id,use_config_manage_stock,meta_title,backorders,description,min_sale_qty,price,max_sale_qty,is_in_stock,is_decimal_divided,visibility,use_config_enable_qty_inc,min_qty,qty_increments,categories,manage_stock,enable_qty_increments,name,sizes,use_config_min_sale_qty,small_image,stock_status_changed_auto,websites,product_name,use_config_min_qty,use_config_max_sale_qty,use_config_qty_increments,has_options,use_config_backorders,image_paths
,Use config,0,1,,full/22b322de78371505f4d54580051f66ddff3537aa.jpg,Product Info Column,,,"http://img.tjmaxx.com/tjx?set=DisplayName[e3],prd[1000028561_NS1003462],ag[yes]&call=url[file:tjxrPRD2.chain]",0,1000028561,1,1,Use config,No layout updates,,No,,,0,,,full/22b322de78371505f4d54580051f66ddff3537aa.jpg,admin,simple,1,,0,"Dimensions: 14in W X 12in HFeatures: Dual Handles, Drawcord Closure, ColorblockPockets: Interior Slip PocketMaterial: Non LeatherImportedstyle #:1000028561",1,,0,,0,,1,0,0,/tjmaxx/clearance/handbags,0,0,"<H1 Class=""Product-Brand"">Charlotte Ronson</H1>",,1,full/22b322de78371505f4d54580051f66ddff3537aa.jpg,0,base,,1,1,1,0,1,full/22b322de78371505f4d54580051f66ddff3537aa.jpg
,Use config,0,1,Black,full/ad234921a479403923e6a1d4fd30a8d3683f8998.jpg,Product Info Column,,,"http://img.tjmaxx.com/tjx?set=DisplayName[e3],prd[1000016463_NS1003462],ag[no]&call=url[file:tjxrPRD2.chain]",0,1000023702_Black_M,1,1,Use config,No layout updates,,No,,ColorAndSize,0,M,,full/ad234921a479403923e6a1d4fd30a8d3683f8998.jpg,admin,simple,1,,0,,1,,0,,0,,1,0,0,/tjmaxx/clearance/view all,0,0,"<H1 Class=""Product-Brand"">Dalia</H1>",,1,full/ad234921a479403923e6a1d4fd30a8d3683f8998.jpg,0,base,,1,1,1,0,1,full/ad234921a479403923e6a1d4fd30a8d3683f8998.jpg
,Use config,0,1,Black,full/ad234921a479403923e6a1d4fd30a8d3683f8998.jpg,Product Info Column,,,"http://img.tjmaxx.com/tjx?set=DisplayName[e3],prd[1000016463_NS1003462],ag[no]&call=url[file:tjxrPRD2.chain]",0,1000023702_Black_L,1,1,Use config,No layout updates,,No,,ColorAndSize,0,L,,full/ad234921a479403923e6a1d4fd30a8d3683f8998.jpg,admin,simple,1,,0,,1,,0,,0,,1,0,0,/tjmaxx/clearance/view all,0,0,"<H1 Class=""Product-Brand"">Dalia</H1>",,1,full/ad234921a479403923e6a1d4fd30a8d3683f8998.jpg,0,base,,1,1,1,0,1,full/ad234921a479403923e6a1d4fd30a8d3683f8998.jpg
,Use config,0,1,Black,full/ad234921a479403923e6a1d4fd30a8d3683f8998.jpg,Product Info Column,,,"http://img.tjmaxx.com/tjx?set=DisplayName[e3],prd[1000016463_NS1003462],ag[no]&call=url[file:tjxrPRD2.chain]",0,1000023702_Black_S,1,1,Use config,No layout updates,,No,,ColorAndSize,0,S,,full/ad234921a479403923e6a1d4fd30a8d3683f8998.jpg,admin,simple,1,,0,,1,,0,,0,,1,0,0,/tjmaxx/clearance/view all,0,0,"<H1 Class=""Product-Brand"">Dalia</H1>",,1,full/ad234921a479403923e6a1d4fd30a8d3683f8998.jpg,0,base,,1,1,1,0,1,full/ad234921a479403923e6a1d4fd30a8d3683f8998.jpg
,Use config,0,1,,full/ad234921a479403923e6a1d4fd30a8d3683f8998.jpg,Product Info Column,,,"http://img.tjmaxx.com/tjx?set=DisplayName[e3],prd[1000016463_NS1003462],ag[no]&call=url[file:tjxrPRD2.chain]",0,1000023702,1,1,Use config,No layout updates,,No,,ColorAndSize,0,,,full/ad234921a479403923e6a1d4fd30a8d3683f8998.jpg,admin,simple,1,,0,"Sleeve: Tab SleeveNeckline: Split NeckLength: 26.75inClosure: Slip OnFeatures: Printed, Lace Up DetailMaterial: PolyesterImportedMachine Washstyle #:1000016463",1,,0,,0,,1,0,0,/tjmaxx/clearance/view all,0,0,"<H1 Class=""Product-Brand"">Dalia</H1>",,1,full/ad234921a479403923e6a1d4fd30a8d3683f8998.jpg,0,base,,1,1,1,0,1,full/ad234921a479403923e6a1d4fd30a8d3683f8998.jpg
,Use config,0,1,Ivory,full/35118d83a0a231479b5cd1d4398c46bae3948ac9.jpg,Product Info Column,,,"http://img.tjmaxx.com/tjx?set=DisplayName[e3],prd[1000025863_NS1003462],ag[no]&call=url[file:tjxrPRD2.chain]",0,1000025863_Ivory_16,1,1,Use config,No layout updates,,No,,ColorAndSize,0,16,,full/35118d83a0a231479b5cd1d4398c46bae3948ac9.jpg,admin,simple,1,,0,,1,,0,,0,,1,0,0,/tjmaxx/clearance/view all,0,0,"<H1 Class=""Product-Brand"">Donna Ricco</H1>",,1,full/35118d83a0a231479b5cd1d4398c46bae3948ac9.jpg,0,base,,1,1,1,0,1,full/35118d83a0a231479b5cd1d4398c46bae3948ac9.jpg
,Use config,0,1,Ivory,full/35118d83a0a231479b5cd1d4398c46bae3948ac9.jpg,Product Info Column,,,"http://img.tjmaxx.com/tjx?set=DisplayName[e3],prd[1000025863_NS1003462],ag[no]&call=url[file:tjxrPRD2.chain]",0,1000025863_Ivory_8,1,1,Use config,No layout updates,,No,,ColorAndSize,0,8,,full/35118d83a0a231479b5cd1d4398c46bae3948ac9.jpg,admin,simple,1,,0,,1,,0,,0,,1,0,0,/tjmaxx/clearance/view all,0,0,"<H1 Class=""Product-Brand"">Donna Ricco</H1>",,1,full/35118d83a0a231479b5cd1d4398c46bae3948ac9.jpg,0,base,,1,1,1,0,1,full/35118d83a0a231479b5cd1d4398c46bae3948ac9.jpg
,Use config,0,1,Blue,full/35118d83a0a231479b5cd1d4398c46bae3948ac9.jpg,Product Info Column,,,"http://img.tjmaxx.com/tjx?set=DisplayName[e3],prd[1000025863_NS1003462],ag[no]&call=url[file:tjxrPRD2.chain]",0,1000025863_Blue_14,1,1,Use config,No layout updates,,No,,ColorAndSize,0,14,,full/35118d83a0a231479b5cd1d4398c46bae3948ac9.jpg,admin,simple,1,,0,,1,,0,,0,,1,0,0,/tjmaxx/clearance/view all,0,0,"<H1 Class=""Product-Brand"">Donna Ricco</H1>",,1,full/35118d83a0a231479b5cd1d4398c46bae3948ac9.jpg,0,base,,1,1,1,0,1,full/35118d83a0a231479b5cd1d4398c46bae3948ac9.jpg
,Use config,0,1,Ivory,full/35118d83a0a231479b5cd1d4398c46bae3948ac9.jpg,Product Info Column,,,"http://img.tjmaxx.com/tjx?set=DisplayName[e3],prd[1000025863_NS1003462],ag[no]&call=url[file:tjxrPRD2.chain]",0,1000025863_Ivory_12,1,1,Use config,No layout updates,,No,,ColorAndSize,0,12,,full/35118d83a0a231479b5cd1d4398c46bae3948ac9.jpg,admin,simple,1,,0,,1,,0,,0,,1,0,0,/tjmaxx/clearance/view all,0,0,"<H1 Class=""Product-Brand"">Donna Ricco</H1>",,1,full/35118d83a0a231479b5cd1d4398c46bae3948ac9.jpg,0,base,,1,1,1,0,1,full/35118d83a0a231479b5cd1d4398c46bae3948ac9.jpg
,Use config,0,1,Ivory,full/35118d83a0a231479b5cd1d4398c46bae3948ac9.jpg,Product Info Column,,,"http://img.tjmaxx.com/tjx?set=DisplayName[e3],prd[1000025863_NS1003462],ag[no]&call=url[file:tjxrPRD2.chain]",0,1000025863_Ivory_6,1,1,Use config,No layout updates,,No,,ColorAndSize,0,6,,full/35118d83a0a231479b5cd1d4398c46bae3948ac9.jpg,admin,simple,1,,0,,1,,0,,0,,1,0,0,/tjmaxx/clearance/view all,0,0,"<H1 Class=""Product-Brand"">Donna Ricco</H1>",,1,full/35118d83a0a231479b5cd1d4398c46bae3948ac9.jpg,0,base,,1,1,1,0,1,full/35118d83a0a231479b5cd1d4398c46bae3948ac9.jpg
